,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
116,Ugy7BQLm2E0-RgqFHHl4AaABAg,I ve want eat mud crab year I hear good crab,1 month ago,@AlmightyAetius,UCJsSdbx7AebytCLLw63Fgsw,0,https://yt3.ggpht.com/ytc/AOPolaQwfhOntqV1eFlGze9bQrUkgtuPOboW7lajLMUT=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.964023
117,UgwMIJvmmruwyt1r98R4AaABAg,your video always relax come visit vancouver time,1 month ago,@zechen6879,UCbPNHTsvstErzH0flNwAyxA,1,https://yt3.ggpht.com/ytc/AOPolaS1Yoxe_CrKz4jS3evHXMpurLRFuitILMwB2A=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.96693
118,UgzHQMpDyrvF5jaXcY14AaABAg,Taku provide gear list description video like camera lense etc much appreciated Love video,1 month ago (edited),@deltacharlie891,UCyuDPYeBjtUW8j7xbEzv7nA,0,https://yt3.ggpht.com/ytc/AOPolaS00_bMvx6PjpVQKGfLBYJXvN5j9vkqd7HdFS_twA=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.969089
119,Ugw7IFQ1MgFvuvGG4754AaABAg,yeah I cliff hanger wait cooking,1 month ago,@wagessin3596,UCqLrvUxHWSKF67lU9wVEOHw,1,https://yt3.ggpht.com/ytc/AOPolaS8SlOmfAyzwt8TQW1hGybXSfsq2XFakfAo1w=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.970923
120,UgyVFGqQDh44butzcox4AaABAg,that look fun beautiful scenery,1 month ago,@johnwhitten566,UCPRnfiPp2VXACIq3fTBXr9A,2,https://yt3.ggpht.com/1F233LhzuAEd-uwvBZ30tBrxYb0m-liki6MZKUs0MN8zxE4I-QniqhGm60Hnm7ZUQD-StLImWIU=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.973022
121,UgzfZqsHh6SPG9emO814AaABAg,I still today ichiban raman I think normal even asian thing maybe school really diverse early time I remember everyone school bus driver ban snack everyone always make mess,1 month ago,@yourmom8740,UCRC79XwL4WecaqSmDKxQKuw,0,https://yt3.ggpht.com/ytc/AOPolaQHT1WsYjGquLI7mWpZRHJ4OGR80Zyf5_p2o5Do=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.97502
122,UgwqHJyeLeFh9LCGDaB4AaABAg,great collab travel good idea keep go,1 month ago,@garyolsen5790,UCBtyEu4mVjkw3CmjGqq5WeA,0,https://yt3.ggpht.com/ytc/AOPolaSwMa0Rw_OOathG20z4U3PAwcLmYVg_s1osNn62=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.977959
123,UgxxW5T086Vx0hqTvo94AaABAg,in Hawaii raw raman noodle snack bring school kid haha I still eat like every often,1 month ago,@dilyuns,UCxq8-bKLWSG13yEmEQX2OjA,0,https://yt3.ggpht.com/YhmjbupJP_PnrPein2C-YVvY_12ymh8zyP8cZ3Txlj-P1pg9xICc0MIwpYBDiiMDjridxfuTCA=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.981024
124,UgyQxq46TfzboFlSOOF4AaABAg,I always want see work together thank much,5 days ago,@sifis78,UCHt1lULEtIRwTunwyyc7L1Q,0,https://yt3.ggpht.com/ytc/AOPolaSGHdtM0XeXISW7ec0QvdUoq_DIEUyx149Y=s176-c-k-c0x00ffffff-no-rj,False,False,1691880039.982024
125,UgyQdkqGzyQS6jMcdLt4AaABAg,the funniest part video Taku look like JCrew ad rokkit look like fisherman haha,4 days ago,@chanbulgin,UCjC6mpfuxuMVW4g40gA5RUw,0,https://yt3.ggpht.com/ytc/AOPolaSQ47N_yGXRuXlSbO4uAjyvNVIp8Hm-86_akvn0=s176-c-k-c0x00ffffff-no-rj,False,False,1691966439.983971
